# Training Log - 2025-12-04 15:37:03
# Device: cpu
# Data shape: X=(3418, 64, 64), y=(3418,)
# Train samples: 2734, Val samples: 684
# Batch size: 16
# Number of epochs: 50
# Learning rate: 0.001
# Optimizer: Adam
# Loss function: CrossEntropyLoss
#
epoch,train_loss,train_acc,val_loss,val_acc
1,0.786911,72.4945,0.184859,93.7135
2,0.243435,92.2458,0.066543,97.0760
3,0.150304,95.2816,0.077540,96.7836
4,0.100096,96.7447,0.261044,93.2749
5,0.081913,97.1836,0.114096,96.3450
6,0.073632,98.0249,0.056277,97.9532
7,0.089482,97.0373,0.021310,99.1228
8,0.078853,97.6225,0.024066,98.8304
9,0.045728,98.4638,0.307822,94.0058
10,0.037584,98.5735,0.016645,99.2690
11,0.072574,97.7323,0.012757,99.2690
12,0.050341,98.1712,0.019308,98.9766
13,0.045438,98.6467,0.016169,99.1228
14,0.051058,98.2078,0.042814,98.2456
15,0.046718,98.5369,0.021013,98.9766
16,0.042488,98.8296,0.014242,99.4152
17,0.069879,98.1712,0.013705,99.2690
18,0.023343,99.1587,0.013157,99.1228
19,0.022277,98.9027,0.011843,99.1228
20,0.017599,99.2685,0.012456,99.2690
21,0.014829,99.4514,0.012485,99.1228
22,0.013066,99.3782,0.015011,99.2690
23,0.014020,99.4514,0.011704,99.2690
24,0.016006,99.1953,0.019654,99.2690
25,0.009923,99.5977,0.015592,99.2690
26,0.012996,99.4514,0.010139,99.4152
27,0.038484,98.8296,0.087400,98.2456
28,0.017340,99.4148,0.011525,99.2690
29,0.017862,99.3050,0.010985,99.2690
30,0.018031,99.1953,0.011363,99.2690
31,0.012295,99.4879,0.015790,99.1228
32,0.020457,99.3782,0.019286,99.2690
33,0.017613,99.4148,0.017244,99.1228
34,0.013328,99.5245,0.024978,99.2690
35,0.009882,99.5611,0.017589,99.2690
36,0.010047,99.6342,0.021213,99.2690
37,0.013240,99.4148,0.012806,99.2690
38,0.011652,99.5611,0.021348,99.1228
39,0.010814,99.4879,0.019715,99.1228
40,0.008659,99.6342,0.021465,99.1228
41,0.010688,99.4879,0.019229,99.1228
42,0.007701,99.7074,0.020820,99.1228
43,0.006241,99.7074,0.021766,99.1228
44,0.007344,99.6342,0.022166,99.1228
45,0.008519,99.5977,0.025444,99.1228
46,0.007773,99.5977,0.024999,99.1228
47,0.005679,99.8537,0.024933,99.2690
48,0.006315,99.6708,0.025724,99.1228
49,0.010705,99.4148,0.027128,99.1228
50,0.008798,99.5977,0.024428,99.1228
