# Training Log - 2025-12-10 23:35:36
# Device: cpu
# Data shape: X=(3418, 64, 64), y=(3418,)
# Train samples: 2734, Val samples: 684
# Batch size: 16
# Number of epochs: 50
# Learning rate: 0.001
# Optimizer: Adam
# Loss function: CrossEntropyLoss
#
epoch,train_loss,train_acc,val_loss,val_acc
1,0.575336,79.2977,0.124948,95.3216
2,0.127588,96.0863,0.057454,98.8304
3,0.065025,97.8420,0.045132,98.0994
4,0.092466,96.6715,0.034309,98.8304
5,0.037487,98.6832,0.063802,97.8070
6,0.033691,99.0124,0.022704,98.8304
7,0.084319,97.9517,0.049927,97.8070
8,0.051168,98.3906,0.020709,99.1228
9,0.022630,99.1222,0.022248,98.8304
10,0.060651,98.4638,1.025042,80.9942
11,0.048174,98.8296,0.025919,99.1228
12,0.037343,98.9393,0.020195,99.2690
13,0.032774,99.0490,0.034580,98.9766
14,0.017289,99.3782,0.013245,99.4152
15,0.014500,99.5611,0.022472,99.7076
16,0.038926,99.1953,0.012849,99.4152
17,0.010886,99.6342,0.013987,99.2690
18,0.009859,99.7440,0.022475,99.2690
19,0.012699,99.5977,0.009687,99.5614
20,0.007037,99.7440,0.010217,99.5614
21,0.012975,99.6342,0.019031,99.4152
22,0.006866,99.8537,0.039480,98.9766
23,0.005368,99.7805,0.011202,99.4152
24,0.004752,99.8903,0.007649,99.7076
25,0.008326,99.7805,0.021405,99.1228
26,0.005582,99.8171,0.016263,99.4152
27,0.002747,99.8537,0.010079,99.5614
28,0.007504,99.7440,0.012701,99.2690
29,0.011757,99.6708,0.028302,99.1228
30,0.107778,98.3175,0.110986,97.6608
31,0.012423,99.8171,0.013704,99.5614
32,0.014457,99.7805,0.007520,99.7076
33,0.002661,99.8537,0.007827,99.5614
34,0.002953,99.8537,0.006924,99.7076
35,0.004682,99.8537,0.008035,99.7076
36,0.002465,99.8537,0.009264,99.7076
37,0.008289,99.8537,0.006713,99.7076
38,0.005232,99.8171,0.008511,99.5614
39,0.007591,99.7074,0.006251,99.8538
40,0.004024,99.8171,0.006811,99.7076
41,0.003517,99.8537,0.007816,99.7076
42,0.002822,99.9268,0.008000,99.7076
43,0.001591,99.8903,0.006519,99.8538
44,0.002699,99.8537,0.009859,99.7076
45,0.002652,99.9268,0.005072,99.8538
46,0.002185,99.8903,0.005179,99.7076
47,0.000990,100.0000,0.006352,99.7076
48,0.002329,99.8903,0.005775,99.8538
49,0.001061,99.9634,0.007482,99.8538
50,0.002009,99.8903,0.004897,99.8538
